Index,Years,Months,Import
1,1994,Jan,686
2,1994,Feb,569
3,1994,Mar,741
4,1994,Apr,645
5,1994,May,739
6,1994,Jun,762
7,1994,Jul,768
8,1994,Aug,783
9,1994,Sep,842
10,1994,Oct,801
11,1994,Nov,677
12,1994,Dec,671
13,1995,Jan,805
14,1995,Feb,633
15,1995,Mar,745
16,1995,Apr,647
17,1995,May,702
18,1995,Jun,732
19,1995,Jul,715
20,1995,Aug,812
21,1995,Sep,692
22,1995,Oct,775
23,1995,Nov,775
24,1995,Dec,797
25,1996,Jan,741
26,1996,Feb,633
27,1996,Mar,686
28,1996,Apr,716
29,1996,May,723
30,1996,Jun,737
31,1996,Jul,729
32,1996,Aug,859
33,1996,Sep,732
34,1996,Oct,706
35,1996,Nov,747
36,1996,Dec,764
